SOC code,Job type,Related job titles
3574,Other vocational and industrial trainers,Business coaches Retail and store trainers Training assessors Other vocational and industrial trainers not elsewhere classified.
3581,Inspectors of standards and regulations,Animal health inspectors and officers Building control officers Driving examiners Health and safety inspectors Housing and planning inspectors Licensing officers Meat hygiene inspectors Nuclear safety inspectors Trading standards officers Traffic and vehicle examiners and inspectors Inspectors of standards and regulations not elsewhere classified.
3582,Health and safety managers and officers,Asbestos safety officers Fire safety managers and officers Occupational health and safety managers and officers Road traffic and transport safety officers Occupational hygienists Health and safety managers and officers not elsewhere classified.
4111,National government administrative occupations,National government benefits officers National government revenue officers Passport officers National government administrative occupations not elsewhere classified.
4112,Local government administrative occupations,Local government benefits officers Local government housing assistants Local government revenue officers Parish clerks Local government administrative occupations not elsewhere classified.
4113,Officers of non-governmental organisations,Charity administrators Clerks to governors Union officials Officers of non-governmental organisations not elsewhere classified.
4121,Credit controllers,Credit controllers
4122,"Book-keepers, payroll managers and wages clerks","Accounting clerks and bookkeepers Payroll officers and wages clerks Bookkeepers, payroll managers and wage clerks not elsewhere classified."
4123,Bank and post office clerks,Bank and building society clerks Post office clerks Bank and post office clerks not elsewhere classified.
4124,Finance officers,Finance officers
4129,Financial administrative occupations not elsewhere classified.,Box office assistants Grants officers Mortgage administrators Revenue assistants Treasury assistants Finance administrative occupations not elsewhere classified.
4131,Records clerks and assistants,Admissions officers Court officers Enumerators Examinations officers Indexers Medical administrators and appointment clerks Purchasing administrators Records clerks and assistants not elsewhere classified.
4132,Pensions and insurance clerks and assistants,Claims handlers Insurance administrators Pensions administrators Pensions and insurance clerks and assistants not elsewhere classified.
4133,Stock control clerks and assistants,Stock control clerks and assistants
4134,Transport and distribution clerks and assistants,Transport and distribution clerks and assistants
4135,Library clerks and assistants,Library clerks and assistants
4136,Human resources administrative occupations,Recruitment administrators Training administrators Human resources administrative occupations not elsewhere classified.
4141,Office managers,Office managers
4142,Office supervisors,Office supervisors
4143,Customer service managers,Call centre managers Customer service managers not elsewhere classified.
4151,Sales administrators,Sales administrators
4152,Data entry administrators,Data entry administrators
4159,Other administrative occupations not elsewhere classified.,Business administrators Church administrators Facilities coordinators Proofreaders Property administrators Warranty administrators Other administrative occupations not elsewhere classified.
4211,Medical secretaries,Medical secretaries
4212,Legal secretaries,Legal secretaries
4213,School secretaries,School secretaries
4214,Company secretaries and administrators,Company secretaries and administrators
4215,Personal assistants and other secretaries,Farm secretaries Personal assistants Personal assistants and other secretaries not elsewhere classified.
4216,Receptionists,Receptionists
4217,Typists and related keyboard occupations,Stenographers Transcribers Typists Typists and related keyboard occupations not elsewhere classified.
5111,Farmers,Agricultural contractors Aquaculture farmers Arable farmers Dairy farmers Livestock farmers Poultry farmers Farmers not elsewhere classified.
5112,Horticultural trades,Horticultural trades
5113,Gardeners and landscape gardeners,Garden designers Gardeners Green roof installers Landscape gardeners Gardeners and landscape gardeners not elsewhere classified.
5114,Groundsmen and greenkeepers,Groundsmen and greenkeepers
5119,Agricultural and fishing trades not elsewhere classified.,Arborists Beekeepers Countryside and park officers and rangers Falconers Fish and river keepers Fishers Gamekeepers Agricultural and fishing trades not elsewhere classified.
5211,Sheet metal workers,Metal fabricators and finishers Panel beaters Whitesmiths Sheet metal workers not elsewhere classified.
5212,"Metal plate workers, smiths, moulders and related occupations","Die casters Farriers Moulders, mould makers and core makers Smiths Metal plate workers, smiths, moulders and related occupations not elsewhere classified."
